run_id,kind,business_id,run_status,round,round_status,tool_count,tool_names,stop_reason,input,cache_read,output,reasoning,total,elapsed_seconds,error
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,1,completed,1,mcp_odoo_read_record,toolUse,649,48768,273,116,49690,6.506,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,2,completed,1,mcp_odoo_execute_method,toolUse,192,49664,219,100,50075,6.195,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,3,completed,1,mcp_odoo_execute_method,toolUse,170,50048,101,0,50319,4.031,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,4,completed,2,mcp_odoo_read_record;mcp_odoo_preview_write,toolUse,127,50304,774,501,51205,15.901,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,5,completed,1,mcp_odoo_validate_write,toolUse,372,51200,144,15,51716,13.842,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,6,completed,1,mcp_odoo_execute_approved_write,toolUse,310,51712,224,8,52246,11.523,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,7,completed,1,mcp_odoo_execute_method,toolUse,124,52224,154,31,52502,4.311,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,8,completed,1,mcp_odoo_execute_method,toolUse,166,52480,119,12,52765,4.144,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,9,completed,1,mcp_odoo_read_record,toolUse,431,52736,287,108,53454,6.87,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,10,completed,1,mcp_odoo_search_records,toolUse,282,53376,307,139,53965,5.758,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,11,completed,1,mcp_odoo_execute_method,toolUse,301,53888,315,190,54504,8.335,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,12,completed,1,mcp_odoo_execute_method,toolUse,245,54400,97,0,54742,6.481,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,13,completed,3,mcp_odoo_read_record;mcp_odoo_read_record;mcp_odoo_search_records,toolUse,189,54656,852,459,55697,11.277,
r_49736b405bbf4b37bd25e812555ab52d,business,b_298ed11aae394a5c9266326fadf7daa8,completed,14,completed,0,,stop,640,55680,1057,412,57377,27.527,
r_759fa13fe18b4f60ae871089a0fd086a,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,1,completed,3,mcp_odoo_health_check;mcp_odoo_read_record;mcp_odoo_search_records,toolUse,1781,56192,2128,1796,60101,88.173,
r_759fa13fe18b4f60ae871089a0fd086a,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,2,completed,2,mcp_odoo_read_record;mcp_odoo_get_model_fields,toolUse,615,60032,1595,1332,62242,49.949,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,1,completed,1,mcp_odoo_preview_write,toolUse,468,63744,710,470,64922,34.989,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,2,completed,1,mcp_odoo_validate_write,toolUse,233,64896,119,0,65248,7.088,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,3,completed,1,mcp_odoo_execute_approved_write,toolUse,392,65152,272,61,65816,10.847,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,4,completed,1,mcp_odoo_read_record,toolUse,173,65792,359,167,66324,8.338,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,5,completed,1,mcp_odoo_execute_method,toolUse,156,66304,308,148,66768,14.711,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,6,completed,1,get_odoo_sop,toolUse,114,66688,1248,1091,68050,41.226,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,7,completed,1,mcp_odoo_execute_method,toolUse,292,67968,827,630,69087,25.069,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,8,completed,1,mcp_odoo_execute_method,toolUse,129,68992,3436,3253,72557,40.143,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,9,completed,1,mcp_odoo_execute_method,toolUse,143,72448,1616,1438,74207,36.891,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,10,completed,1,mcp_odoo_execute_method,toolUse,129,74112,1675,1524,75916,21.705,
r_105b85119d86454a9637969aaa4704bd,business,b_298ed11aae394a5c9266326fadf7daa8,interrupted,11,completed,0,,stop,71,75904,2468,1793,78443,42.528,
r_cfaafb27474a419aa1b1d851c736f3ae,business,b_298ed11aae394a5c9266326fadf7daa8,completed,1,completed,1,mcp_odoo_execute_method,toolUse,564,78336,236,104,79136,7.586,
r_cfaafb27474a419aa1b1d851c736f3ae,business,b_298ed11aae394a5c9266326fadf7daa8,completed,2,completed,1,mcp_odoo_execute_method,toolUse,176,79104,117,15,79397,6.045,
r_cfaafb27474a419aa1b1d851c736f3ae,business,b_298ed11aae394a5c9266326fadf7daa8,completed,3,completed,2,mcp_odoo_read_attachment;mcp_odoo_read_record,toolUse,212,79360,624,375,80196,12.648,
r_cfaafb27474a419aa1b1d851c736f3ae,business,b_298ed11aae394a5c9266326fadf7daa8,completed,4,completed,0,,stop,29262,80128,1001,493,110391,24.133,
c_ce962c49c4504541acb464e5ec769c3a,conversation,,completed,1,completed,0,,stop,1311,0,1617,1163,2928,17.46,
c_181c31887a2649c1bdc71137dff4d8d2,conversation,,completed,1,completed,0,,stop,3574,0,1866,1535,5440,18.753,
c_c06409c4840c40caa218c15f361d72ac,conversation,,completed,1,completed,1,propose_business,toolUse,577,5376,764,309,6717,8.561,
c_c06409c4840c40caa218c15f361d72ac,conversation,,completed,2,completed,0,,stop,458,6656,230,39,7344,4.112,
c_fc0dc1ab00fd466b92cb632666988333,conversation,,completed,1,completed,1,propose_business,toolUse,1560,7296,2449,1959,11305,70.904,
c_fc0dc1ab00fd466b92cb632666988333,conversation,,completed,2,completed,0,,stop,2810,8832,158,26,11800,5.609,
